student_id,full_name,age,gender,grade_level,school_id,math_score,science_score,french_score,arabic_score,philosophy_score,attendance_pct,study_hours_per_day,internet_access,parent_education,scholarship,enrollment_date,average_score,status
STU0771,Houda Chraibi,18.0,F,Tronc Commun,SCH125,14.4,17.9,17.0,10.1,15.1,73.6,4.6,Non,Aucun,Oui,2023-09-06,14.9,Admis
STU0992,Chaimae Senhaji,17.0,F,2ème Bac,SCH064,11.5,16.1,17.0,14.7,13.4,76.0,3.8,Oui,Supérieur,Non,2023-12-09,14.54,Admis
STU0951,Soukaina Zouiten,15.0,F,3ème Collège,SCH039,17.8,13.3,11.9,12.0,14.4,70.5,3.4,Non,Aucun,Non,2023-09-03,13.88,Admis
STU0311,Imane Tazi,17.0,F,2ème Bac,SCH117,16.2,13.4,13.6,13.6,11.4,62.5,4.9,Non,Aucun,Oui,2023-09-14,13.64,Admis
STU0979,Hajar Alaoui,17.0,F,2ème Bac,SCH123,17.5,15.9,17.9,17.7,12.4,69.7,5.2,Non,Primaire,Non,2023-09-17,16.28,Admis
STU0803,Amine Chraibi,15.0,M,3ème Collège,SCH114,17.2,11.9,16.2,13.2,15.3,94.0,5.4,Non,Secondaire,Oui,2023-09-06,14.76,Admis
STU0911,Houda Benjelloun,18.0,F,2ème Bac,SCH088,14.8,10.9,10.2,16.7,17.7,65.7,6.2,Oui,Supérieur,Non,2023-09-20,14.06,Admis
STU0086,Omar Benhaddou,15.0,M,Tronc Commun,SCH090,17.4,12.8,10.5,11.5,10.4,83.4,3.2,Oui,Supérieur,Non,2023-09-07,12.52,Admis
STU0348,Othmane Alaoui,17.0,M,1ère Bac,SCH058,10.7,12.3,13.7,15.4,17.1,71.2,3.3,Non,Aucun,Non,2023-09-14,13.84,Admis
STU0192,Chaimae Bouazza,17.0,F,1ère Bac,SCH077,11.6,12.4,17.3,17.8,14.6,74.4,4.8,Non,Aucun,Non,2023-09-17,14.74,Admis
STU0725,Samira Chraibi,15.0,F,3ème Collège,SCH122,10.2,9.5,10.2,9.5,9.8,62.8,3.7,Non,Secondaire,Non,2023-09-16,9.84,Ajourné
STU0796,Youssef El Ouali,16.0,M,Tronc Commun,SCH077,7.6,7.3,10.6,8.0,7.7,88.7,1.5,Oui,Secondaire,Non,2023-09-17,8.24,Ajourné
STU0798,Chaimae Bouazza,14.0,F,3ème Collège,SCH083,7.9,9.1,10.8,9.3,8.2,58.3,2.6,Non,Supérieur,Oui,2023-09-19,9.06,Ajourné
STU0121,Tariq Zouiten,15.0,M,3ème Collège,SCH084,10.4,11.9,14.3,10.8,14.5,86.7,4.9,Non,Aucun,Non,2023-09-21,12.38,Admis
STU0190,Nour Bouazza,18.0,F,2ème Bac,SCH081,12.6,10.3,14.0,10.1,14.0,68.0,2.4,Non,Aucun,Oui,2023-09-21,12.2,Admis
STU0095,Bilal Benali,17.0,M,1ère Bac,SCH025,13.1,10.1,10.8,13.5,10.6,81.0,3.7,Oui,Aucun,Non,2023-09-16,11.62,Admis
STU0201,Othmane El Fassi,14.0,M,3ème Collège,SCH113,9.9,7.6,10.8,8.4,9.0,75.2,2.1,Oui,Aucun,Oui,2023-09-09,9.14,Ajourné
STU0651,Houda El Fassi,16.0,F,1ère Bac,SCH042,12.2,17.9,15.3,10.7,10.7,78.7,4.2,Oui,Supérieur,Non,2023-09-12,13.36,Admis
STU0263,Chaimae El Ouali,18.0,F,2ème Bac,SCH022,16.6,13.4,16.6,16.0,14.8,72.9,5.5,Oui,Aucun,Oui,2023-09-04,15.48,Admis
STU0035,Chaimae Tazi,15.0,F,Tronc Commun,SCH125,12.9,13.1,13.0,17.3,12.7,75.3,4.5,Oui,Aucun,Non,2023-09-18,13.8,Admis
STU0042,Amine Berrada,18.0,M,2ème Bac,SCH126,9.9,9.9,9.1,10.3,10.2,67.7,2.0,Non,Aucun,Oui,2023-09-01,9.88,Ajourné
STU0743,Bilal Amrani,17.0,M,1ère Bac,SCH112,12.2,15.4,16.2,13.5,17.3,69.6,4.3,Oui,Supérieur,Non,2023-09-12,14.92,Admis
STU0464,Ghita Belkadi,17.0,F,1ère Bac,SCH051,14.3,11.7,17.7,12.1,13.3,88.1,5.4,Non,Secondaire,Non,2023-09-21,13.82,Admis
STU0929,Khalid Tazi,18.0,M,2ème Bac,SCH091,11.1,17.6,11.6,13.5,11.1,76.8,4.2,Non,Primaire,Oui,2023-09-05,12.98,Admis
STU0831,Rachid Mansouri,14.0,M,3ème Collège,SCH119,16.4,16.3,14.2,15.8,15.7,93.0,5.7,Non,Aucun,Oui,2023-09-19,15.68,Admis
STU0819,Rachid Cherif,17.0,M,2ème Bac,SCH045,9.6,9.0,10.9,10.3,10.0,55.0,3.1,Non,Secondaire,Oui,2023-09-14,9.96,Ajourné
STU0440,Othmane Berrada,15.0,M,Tronc Commun,SCH084,9.8,9.7,10.0,8.9,9.6,66.1,3.4,Oui,Primaire,Oui,2023-09-17,9.6,Ajourné
STU0532,Lina Cherif,16.0,F,Tronc Commun,SCH041,9.2,7.2,7.6,8.4,7.6,69.3,1.8,Non,Primaire,Non,2023-09-13,8.0,Ajourné
STU0256,Youssef Belkadi,17.0,M,2ème Bac,SCH102,10.6,10.7,12.3,10.1,12.3,83.2,2.7,Non,Supérieur,Non,2023-09-11,11.2,Admis
STU0079,Aisha Benali,17.0,F,Tronc Commun,SCH090,17.9,13.3,16.3,14.7,14.2,68.6,5.5,Non,Aucun,Oui,2023-09-12,15.28,Admis
STU0187,Othmane Belkadi,16.0,M,1ère Bac,SCH023,16.2,17.0,14.6,14.9,15.6,80.1,5.9,Oui,Secondaire,Non,2023-09-20,15.66,Admis
STU0890,Nour Tazi,15.0,F,3ème Collège,SCH084,11.6,17.6,15.1,15.1,17.2,64.8,4.1,Non,Aucun,Non,2023-09-17,15.32,Admis
STU0985,Othmane El Fassi,16.0,M,1ère Bac,SCH096,10.0,13.7,16.4,11.9,16.3,65.0,3.8,Non,Aucun,Oui,2023-09-08,13.66,Admis
STU0157,Fatima Lahlou,16.0,F,Tronc Commun,SCH093,8.0,7.3,8.9,8.5,9.2,73.7,2.1,Non,Supérieur,Oui,2023-09-01,8.38,Ajourné
STU0510,Mouad Belkadi,16.0,M,1ère Bac,SCH064,16.5,14.9,13.2,15.7,15.4,81.1,6.1,Oui,Primaire,Oui,2023-09-14,15.14,Admis
STU0100,Samira Cherif,16.0,F,1ère Bac,SCH033,15.7,11.3,17.3,10.7,15.4,80.6,4.8,Non,Primaire,Oui,2023-09-04,14.08,Admis
STU0700,Sara Tazi,16.0,F,1ère Bac,SCH095,15.8,17.9,14.3,11.6,17.6,81.4,3.8,Oui,Secondaire,Non,2023-09-20,15.44,Admis
STU0496,Rachid Amrani,15.0,M,3ème Collège,SCH009,8.4,9.9,9.9,10.2,7.3,64.8,2.5,Non,Supérieur,Non,2023-09-04,9.14,Ajourné
STU0845,Hassan Belkadi,16.0,M,1ère Bac,SCH067,16.2,11.9,11.3,17.0,12.4,71.8,4.1,Oui,Supérieur,Oui,2023-09-04,13.76,Admis
STU0744,Soukaina Lahlou,18.0,F,2ème Bac,SCH052,10.6,17.5,15.6,15.9,10.0,78.4,3.4,Oui,Primaire,Oui,2023-09-19,13.92,Admis
STU0109,Hamza Cherif,18.0,M,2ème Bac,SCH069,12.9,15.2,16.3,10.1,12.2,83.5,4.0,Oui,Secondaire,Non,2023-09-04,13.34,Admis
STU0018,Soukaina El Idrissi,15.0,F,3ème Collège,SCH108,10.9,14.9,12.5,12.0,11.7,84.0,3.5,Oui,Secondaire,Non,2023-09-13,12.4,Admis
STU0237,Mouad Benjelloun,18.0,M,2ème Bac,SCH019,16.9,14.1,16.9,11.7,15.3,70.8,4.4,Oui,Aucun,Non,2023-09-07,14.98,Admis
STU0356,Chaimae Chraibi,17.0,F,1ère Bac,SCH084,15.0,11.8,17.2,12.2,15.1,94.8,4.1,Non,Primaire,Oui,2023-09-13,14.26,Admis
STU0102,Rachid Benhaddou,15.0,M,Tronc Commun,SCH064,12.6,11.4,12.2,12.0,14.7,72.6,5.0,Oui,Secondaire,Non,2023-09-21,12.58,Admis
STU0346,Mehdi Tahiri,16.0,M,Tronc Commun,SCH014,10.5,11.8,17.9,10.5,10.1,79.8,3.4,Oui,Primaire,Oui,2023-09-19,12.16,Admis
STU0155,Mouad Lahlou,17.0,M,1ère Bac,SCH071,12.5,11.5,11.1,13.7,15.8,80.1,4.0,Non,Secondaire,Non,2023-09-12,12.92,Admis
STU0066,Mouad El Ouali,16.0,M,Tronc Commun,SCH109,12.6,16.2,11.6,15.9,12.6,73.1,4.2,Non,Aucun,Oui,2023-09-17,13.78,Admis
STU0058,Mehdi Bouazza,17.0,M,2ème Bac,SCH131,15.8,12.8,11.5,14.9,15.3,69.5,4.0,Non,Primaire,Oui,2023-09-04,14.06,Admis
STU0834,Lina Bouazza,16.0,F,1ère Bac,SCH032,15.1,10.5,17.2,15.4,14.5,71.5,4.6,Oui,Supérieur,Non,2023-09-13,14.54,Admis
STU0870,Hajar Alaoui,17.0,F,1ère Bac,SCH097,17.1,17.8,15.2,10.6,12.7,71.1,4.7,Oui,Secondaire,Oui,2023-09-13,14.68,Admis
STU0202,Zineb Zouiten,17.0,F,1ère Bac,SCH090,7.7,7.3,8.0,8.3,8.5,73.6,2.2,Non,Primaire,Oui,2023-09-02,7.96,Ajourné
STU0312,Nour Alaoui,14.0,F,3ème Collège,SCH131,13.8,17.1,11.2,17.6,11.1,76.6,3.7,Non,Primaire,Non,2023-09-20,14.16,Admis
STU0513,Khalid Mansouri,16.0,M,1ère Bac,SCH092,11.0,13.0,17.0,17.0,9.0,83.5,4.0,Non,Supérieur,Oui,2023-09-05,13.4,Admis
STU0181,Mehdi Mansouri,14.0,M,3ème Collège,SCH109,10.6,7.3,9.6,7.8,8.7,75.1,3.0,Oui,Secondaire,Non,2023-09-16,8.8,Ajourné
STU0769,Houda Benjelloun,15.0,F,3ème Collège,SCH068,11.0,17.4,13.5,16.7,10.8,77.7,4.2,Non,Aucun,Oui,2023-09-05,13.88,Admis
STU0195,Zineb Amrani,14.0,F,3ème Collège,SCH035,9.3,7.0,9.7,7.3,7.2,65.0,2.3,Non,Secondaire,Non,2023-09-06,8.1,Ajourné
STU0556,Loubna Bouazza,15.0,F,Tronc Commun,SCH024,15.7,18.0,14.9,16.4,16.7,88.5,5.4,Non,Primaire,Oui,2023-09-13,16.34,Admis
STU0355,Khalid Bouazza,14.0,M,3ème Collège,SCH080,8.6,10.8,7.7,8.9,8.1,72.9,2.8,Oui,Aucun,Oui,2023-01-09,8.82,Ajourné
STU0986,Tariq Zouiten,16.0,M,1ère Bac,SCH004,8.8,10.0,9.3,8.9,10.8,74.0,3.2,Oui,Primaire,Oui,2023-09-21,9.56,Ajourné
STU0483,Houda Berrada,17.0,F,1ère Bac,SCH102,16.1,11.4,10.7,16.6,17.3,76.4,4.4,Oui,Secondaire,Non,2023-09-17,14.42,Admis
STU0208,Ilyas El Fassi,16.0,M,Tronc Commun,SCH023,14.5,13.2,17.1,17.5,15.2,78.9,4.2,Oui,Aucun,Non,2023-09-13,15.5,Admis
STU0091,Rachid Tazi,17.0,M,1ère Bac,SCH075,16.2,16.1,16.4,14.4,10.8,71.5,3.7,Non,Supérieur,Non,2023-09-01,14.78,Admis
STU0712,Nour Senhaji,15.0,F,Tronc Commun,SCH016,10.8,8.4,10.1,10.4,10.8,70.5,3.7,Non,Aucun,Oui,2023-09-02,10.1,Admis
STU0676,Bilal Amrani,15.0,M,3ème Collège,SCH014,14.0,15.6,14.0,11.6,13.2,72.8,4.9,Oui,Secondaire,Non,2023-09-07,13.68,Admis
STU0242,Soukaina Belkadi,16.0,F,1ère Bac,SCH034,14.2,11.2,17.7,14.9,15.8,80.7,5.2,Non,Supérieur,Oui,2023-09-02,14.76,Admis
STU0699,Ghita El Ouali,16.0,F,1ère Bac,SCH048,13.4,16.5,13.3,15.9,16.2,76.4,5.4,Oui,Primaire,Oui,2023-09-08,15.06,Admis
STU0944,Hamza Benhaddou,15.0,M,Tronc Commun,SCH129,10.2,11.8,17.9,15.9,10.9,68.3,4.0,Oui,Secondaire,Oui,2023-09-21,13.34,Admis
STU0807,Rachid Amrani,18.0,M,2ème Bac,SCH133,7.6,8.2,9.0,7.9,8.4,76.4,1.7,Oui,Primaire,Oui,2023-09-19,8.22,Ajourné
STU0810,Hamza El Idrissi,18.0,M,2ème Bac,SCH132,10.9,11.8,15.3,14.2,10.0,75.1,3.0,Oui,Primaire,Oui,2023-09-10,12.44,Admis
STU0396,Hamza Bouazza,15.0,M,Tronc Commun,SCH118,10.3,14.3,15.1,10.5,15.7,91.0,3.2,Non,Aucun,Oui,2023-09-21,13.18,Admis
STU0544,Amine Senhaji,17.0,M,2ème Bac,SCH061,9.3,8.4,7.0,8.5,7.2,73.1,3.1,Non,Aucun,Oui,2023-09-02,8.08,Ajourné
STU0916,Loubna Zouiten,18.0,F,2ème Bac,SCH130,15.1,14.7,11.3,13.0,12.9,75.0,3.7,Non,Supérieur,Non,2023-09-18,13.4,Admis
STU0853,Bilal Tazi,16.0,M,1ère Bac,SCH057,9.0,10.1,7.0,10.2,7.7,56.9,3.3,Non,Supérieur,Oui,2023-09-04,8.8,Ajourné
STU0969,Hassan Tahiri,17.0,M,2ème Bac,SCH054,9.4,9.6,8.4,10.3,8.6,64.5,2.5,Oui,Aucun,Non,2023-09-16,9.26,Ajourné
STU0735,Karim Lahlou,15.0,M,3ème Collège,SCH045,12.5,14.6,17.1,17.4,12.0,61.9,4.1,Non,Primaire,Oui,2023-09-09,14.72,Admis
STU0060,Fatima Tahiri,15.0,F,3ème Collège,SCH030,14.1,10.7,13.4,14.7,10.1,78.2,3.0,Non,Supérieur,Non,2023-09-09,12.6,Admis
STU0014,Ilyas Tahiri,15.0,M,Tronc Commun,SCH096,17.3,17.0,11.3,14.3,14.3,84.6,4.2,Non,Supérieur,Oui,2023-09-16,14.84,Admis
STU0488,Lina Benjelloun,15.0,F,3ème Collège,SCH045,12.0,12.1,10.1,12.2,16.8,69.7,5.0,Non,Primaire,Non,2023-09-16,12.64,Admis
STU0176,Youssef Chraibi,18.0,M,2ème Bac,SCH114,13.3,11.0,14.5,12.9,17.7,81.5,3.5,Oui,Supérieur,Non,2023-09-17,13.88,Admis
STU0136,Adil Benhaddou,18.0,M,2ème Bac,SCH087,16.0,17.1,14.2,17.2,14.5,83.0,6.7,Oui,Secondaire,Non,2023-09-09,15.8,Admis
STU0731,Samira Tahiri,16.0,F,Tronc Commun,SCH133,7.1,7.7,10.7,8.5,10.8,76.4,1.8,Oui,Supérieur,Non,2023-09-04,8.96,Ajourné
STU0950,Houda El Ouali,19.0,F,2ème Bac,SCH014,11.8,17.6,15.8,15.3,14.1,82.4,5.3,Non,Aucun,Oui,2023-09-14,14.92,Admis
STU0542,Karim El Fassi,15.0,M,Tronc Commun,SCH045,10.6,16.9,17.1,16.3,10.7,88.5,4.4,Non,Aucun,Non,2023-09-03,14.32,Admis
STU0879,Youssef Berrada,17.0,M,1ère Bac,SCH027,12.3,16.5,10.6,13.6,14.4,83.6,3.9,Oui,Aucun,Non,2023-09-08,13.48,Admis
STU0384,Lina Bouazza,15.0,F,1ère Bac,SCH061,10.5,7.7,7.9,8.8,7.6,69.3,1.3,Non,Aucun,Non,2023-09-13,8.5,Ajourné
STU0919,Ghita Senhaji,15.0,F,3ème Collège,SCH047,11.3,15.2,15.9,15.0,13.0,66.1,4.3,Non,Supérieur,Non,2023-09-06,14.08,Admis
STU0166,Loubna Chraibi,14.0,F,3ème Collège,SCH110,17.4,14.4,11.5,12.0,14.9,72.9,3.5,Oui,Aucun,Oui,2023-09-09,14.04,Admis
STU0646,Fatima Senhaji,15.0,F,Tronc Commun,SCH027,10.7,7.4,9.5,8.2,10.1,68.0,1.2,Non,Aucun,Oui,2023-09-05,9.18,Ajourné
STU0900,Bilal Lahlou,16.0,M,Tronc Commun,SCH082,16.5,10.7,16.9,15.6,13.1,95.3,4.7,Oui,Aucun,Oui,2023-04-09,14.56,Admis
STU0547,Imane Zouiten,15.0,F,3ème Collège,SCH008,15.1,13.3,16.6,13.4,11.9,80.7,3.9,Oui,Aucun,Oui,2023-09-17,14.06,Admis
STU0892,Lina Benjelloun,15.0,F,3ème Collège,SCH067,17.0,13.0,14.3,13.5,10.8,73.6,5.6,Oui,Supérieur,Non,2023-09-17,13.72,Admis
STU0711,Lina Benhaddou,16.0,F,Tronc Commun,SCH069,16.4,12.1,15.7,15.2,12.5,81.2,5.3,Oui,Supérieur,Non,2023-09-12,14.38,Admis
STU0203,Tariq Alaoui,14.0,M,2ème Bac,SCH055,9.3,9.6,7.9,10.7,7.4,65.5,3.9,Non,Aucun,Oui,2023-09-17,8.98,Ajourné
STU0004,Othmane Amrani,18.0,M,2ème Bac,SCH045,11.5,15.8,12.5,17.5,10.8,68.5,3.7,Non,Supérieur,Oui,2023-09-10,13.62,Admis
STU0001,Mouad Senhaji,16.0,M,Tronc Commun,SCH090,17.1,14.0,13.8,10.5,11.4,82.0,4.2,Non,Aucun,Non,2023-09-06,13.36,Admis
STU0805,Omar Chraibi,17.0,M,2ème Bac,SCH105,14.3,10.6,16.6,16.6,17.9,70.35,2.7,Non,Secondaire,Non,2023-09-13,15.2,Admis
STU0868,Aisha Mansouri,16.0,F,3ème Collège,SCH071,16.5,11.8,13.7,12.3,13.6,84.1,4.0,Oui,Secondaire,Oui,2023-09-08,13.58,Admis
STU0719,Hajar Senhaji,17.0,F,2ème Bac,SCH016,17.2,15.5,12.9,13.6,14.3,84.3,4.7,Non,Aucun,Oui,2023-09-08,14.7,Admis
STU0797,Ilyas Tazi,17.0,M,1ère Bac,SCH114,12.5,10.6,14.0,10.2,17.0,79.8,4.1,Oui,Supérieur,Non,2023-02-09,12.86,Admis
STU0987,Hajar Benhaddou,16.0,F,Tronc Commun,SCH083,10.9,16.8,16.6,12.4,18.0,88.7,4.7,Non,Secondaire,Non,2023-09-01,14.94,Admis
STU0867,Mouad Kettani,18.0,M,2ème Bac,SCH079,11.8,14.0,12.7,14.0,14.7,64.0,4.2,Non,Primaire,Oui,2023-09-14,13.44,Admis
STU0481,Hassan Bouazza,16.0,M,1ère Bac,SCH044,9.8,10.1,8.3,7.5,10.9,69.9,0.5,Oui,Secondaire,Oui,2023-09-10,9.32,Ajourné
STU0149,Khalid Alaoui,14.0,M,3ème Collège,SCH001,13.4,13.8,11.4,10.4,16.5,93.3,4.2,Oui,Secondaire,Oui,2023-09-16,13.1,Admis
STU0387,Zineb El Ouali,17.0,F,2ème Bac,SCH016,16.5,14.7,15.7,13.9,12.6,66.0,5.0,Oui,Primaire,Non,2023-09-11,14.68,Admis
STU0003,Hajar Alaoui,14.0,F,3ème Collège,SCH118,10.7,8.1,10.4,10.7,8.5,65.5,3.8,Non,Supérieur,Oui,2023-09-02,9.68,Ajourné
STU0600,Bilal Amrani,17.0,M,2ème Bac,SCH009,16.9,16.6,16.6,17.4,12.4,72.2,5.4,Oui,Primaire,Oui,2023-09-19,15.98,Admis
STU0073,Bilal Belkadi,17.0,M,1ère Bac,SCH090,10.1,12.8,10.8,10.8,13.2,72.5,3.3,Non,Aucun,Oui,2023-09-07,11.54,Admis
STU0367,Omar Berrada,14.0,M,3ème Collège,SCH127,9.8,7.1,9.9,9.7,10.1,77.95,3.5,Oui,Supérieur,Oui,2023-09-10,9.32,Ajourné
STU0143,Mehdi El Idrissi,15.0,M,3ème Collège,SCH118,14.1,15.4,11.9,16.1,15.4,65.9,2.7,Non,Supérieur,Non,2023-09-05,14.58,Admis
STU0239,Youssef Tahiri,15.0,M,3ème Collège,SCH004,13.3,14.5,11.1,13.3,15.5,76.2,3.8,Oui,Supérieur,Oui,2023-09-15,13.54,Admis
STU0182,Omar Berrada,14.0,M,3ème Collège,SCH034,11.8,12.1,12.8,15.2,12.5,81.25,3.3,Non,Supérieur,Oui,2023-09-12,12.88,Admis
STU0332,Rachid Mansouri,19.0,M,2ème Bac,SCH039,11.0,17.0,13.6,12.1,11.1,84.0,4.0,Oui,Supérieur,Non,2023-09-20,12.96,Admis
STU0734,Karim Benjelloun,18.0,M,2ème Bac,SCH115,7.6,7.3,7.4,9.1,8.4,84.1,0.5,Oui,Aucun,Oui,2023-09-09,7.96,Ajourné
