student_id,full_name,age,gender,grade_level,school_id,math_score,science_score,french_score,arabic_score,philosophy_score,attendance_pct,study_hours_per_day,internet_access,parent_education,scholarship,enrollment_date,average_score,status,school_name,school_type,milieu,province,region,capacity,num_teachers,infrastructure_score,digital_equipment,year_founded,taux_reussite_national_pct,taux_pauvrete_pct,taux_alphabetisation_pct,couverture_internet_pct,depense_par_eleve_mad,taux_abandon_scolaire_pct,ratio_eleves_par_enseignant,nb_etablissements,risk_score,risk_level
STU0229,Zineb Amrani,14.0,F,3ème Collège,SCH076,13.6,15.8,13.7,15.0,13.4,73.3,4.4,Oui,Primaire,Oui,2023-09-01,14.3,Admis,École Secondaire Al Massira,Public,Rural,Tétouan,Tanger-Tétouan-Al Hoceïma,1148,44,7.6,Non,1986,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.3,Risque faible
STU0674,Ghita Senhaji,17.0,F,2ème Bac,SCH126,16.3,10.5,13.9,15.2,12.2,84.4,2.9,Oui,Aucun,Oui,2023-09-13,13.62,Admis,École Secondaire Al Wifaq,Public,Rural,Nador,Oriental,468,31,8.9,Non,1993,59.7,16.1,69.2,82.3,5437,15.8,37.0,20,0.32,Risque faible
STU0983,Bilal Benali,16.0,M,Tronc Commun,SCH137,11.6,12.5,11.3,12.1,16.1,84.2,3.3,Non,Primaire,Oui,2023-09-02,12.72,Admis,Lycée Al Wifaq,Public,Rural,Taourirt,Oriental,1083,50,4.3,Oui,1989,59.7,16.1,69.2,82.3,5437,15.8,37.0,20,0.34,Risque faible
STU0925,Ghita Benjelloun,16.0,F,1ère Bac,SCH047,14.1,14.3,17.6,10.1,11.8,75.3,4.1,Non,Supérieur,Oui,2023-09-10,13.58,Admis,Lycée Al Farabi,Privé,Rural,Ifrane,Fès-Meknès,1198,31,4.2,Non,1977,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.32,Risque faible
STU0591,Samira Benhaddou,14.0,F,3ème Collège,SCH058,14.7,16.3,16.8,17.7,15.5,78.0,4.6,Non,Secondaire,Oui,2023-09-17,16.2,Admis,Institut Ibn Sina,Public,Urbain,Marrakech,Marrakech-Safi,870,30,9.0,Oui,2004,63.7,12.7,74.6,66.2,6314,17.2,23.0,14,0.23,Risque faible
STU0840,Chaimae Tahiri,16.0,F,1ère Bac,SCH046,10.4,12.6,15.4,12.0,11.9,80.2,3.3,Non,Aucun,Non,2023-09-17,12.46,Admis,École Secondaire Al Wifaq,Privé,Rural,Ifrane,Fès-Meknès,371,32,5.3,Partiel,2000,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.35,Risque faible
STU0036,Samira Senhaji,14.0,F,3ème Collège,SCH035,10.3,8.8,9.4,7.2,8.2,75.4,3.7,Non,Secondaire,Non,2023-09-20,8.78,Ajourné,Lycée Al Amal,Public,Rural,Fès,Fès-Meknès,550,38,4.9,Non,2009,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.45,Risque modéré
STU0369,Adil Tazi,14.0,M,3ème Collège,SCH063,14.9,15.0,13.7,15.4,15.0,73.4,4.7,Oui,Aucun,Oui,2023-09-18,14.8,Admis,École Secondaire Al Biruni,Privé,Rural,El Kelaa,Marrakech-Safi,777,41,3.4,Non,1999,63.7,12.7,74.6,66.2,6314,17.2,23.0,14,0.28,Risque faible
STU0134,Omar Tahiri,17.0,M,2ème Bac,SCH083,3.9,2.2,5.7,4.6,6.1,74.7,0.9,Non,Supérieur,Oui,2023-09-13,4.5,Recalé,Collège Al Farabi,Privé,Rural,Larache,Tanger-Tétouan-Al Hoceïma,1038,27,5.1,Partiel,2009,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.64,Risque élevé
STU0341,Mouad Kettani,16.0,M,1ère Bac,SCH070,11.4,17.1,13.3,15.7,16.0,64.4,4.1,Non,Primaire,Oui,2023-09-11,14.7,Admis,Lycée Atlas,Public,Urbain,Tanger,Tanger-Tétouan-Al Hoceïma,331,30,4.3,Oui,2014,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.32,Risque faible
STU0196,Tariq Belkadi,14.0,M,3ème Collège,SCH037,10.5,14.9,15.2,14.9,11.7,72.9,5.1,Non,Supérieur,Non,2023-09-03,13.44,Admis,Collège Mohammed V,Public,Urbain,Fès,Fès-Meknès,588,53,4.4,Non,1988,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.3,Risque faible
STU0456,Bilal El Idrissi,18.0,M,2ème Bac,SCH119,17.6,11.9,14.4,12.5,10.5,79.9,4.0,Non,Aucun,Oui,2023-09-11,13.38,Admis,École Secondaire Ibn Battuta,Public,Rural,Oujda,Oriental,561,57,3.1,Non,1993,59.7,16.1,69.2,82.3,5437,15.8,37.0,20,0.31,Risque faible
STU0728,Fatima Kettani,16.0,F,1ère Bac,SCH102,17.7,10.2,10.5,12.2,11.0,74.6,3.3,Oui,Supérieur,Non,2023-09-02,12.32,Admis,Institut Ibn Sina,Public,Rural,Béni Mellal,Béni Mellal-Khénifra,492,48,5.4,Non,2015,55.9,7.0,75.6,72.5,7163,8.7,35.7,17,0.37,Risque faible
STU0404,Hamza Zouiten,17.0,M,2ème Bac,SCH112,16.5,17.0,14.1,14.8,14.8,68.5,3.6,Non,Secondaire,Non,2023-09-10,15.44,Admis,Institut Ibn Sina,Public,Rural,Azilal,Béni Mellal-Khénifra,1039,24,5.7,Partiel,1984,55.9,7.0,75.6,72.5,7163,8.7,35.7,17,0.31,Risque faible
STU0120,Mouad Zouiten,15.0,M,Tronc Commun,SCH125,12.4,10.2,16.5,16.9,16.8,73.9,4.5,Oui,Aucun,Non,2023-09-17,14.56,Admis,Lycée Al Amal,Privé,Urbain,Nador,Oriental,602,35,7.9,Oui,1987,59.7,16.1,69.2,82.3,5437,15.8,37.0,20,0.29,Risque faible
STU0980,Sara Benhaddou,17.0,F,1ère Bac,SCH099,10.8,17.0,13.7,17.6,10.4,86.3,3.9,Non,Primaire,Oui,2023-09-08,13.9,Admis,Collège Moulay Youssef,Privé,Rural,Chtouka,Souss-Massa,746,55,8.3,Oui,2005,62.4,20.5,71.2,87.8,5102,16.5,29.4,13,0.28,Risque faible
STU0435,Loubna Zouiten,16.0,F,Tronc Commun,SCH024,15.5,14.2,10.4,10.8,15.9,78.5,5.5,Non,Aucun,Oui,2023-09-19,13.36,Admis,Lycée Al Massira,Privé,Rural,Kénitra,Rabat-Salé-Kénitra,969,56,3.6,Non,1996,72.8,6.6,83.6,51.2,7434,14.8,27.5,19,0.27,Risque faible
STU0050,Karim Benhaddou,15.0,M,3ème Collège,SCH075,13.5,17.5,16.3,11.2,12.7,77.3,5.9,Oui,Secondaire,Non,2023-09-09,14.24,Admis,École Secondaire Al Farabi,Privé,Rural,Tétouan,Tanger-Tétouan-Al Hoceïma,818,56,5.2,Non,2006,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.24,Risque faible
STU0923,Ilyas Tahiri,15.0,M,Tronc Commun,SCH033,7.4,9.5,7.3,7.2,8.5,62.5,1.1,Non,Primaire,Non,2023-09-16,7.98,Ajourné,École Secondaire Averroès,Privé,Urbain,Skhirate,Rabat-Salé-Kénitra,434,57,7.2,Non,1995,72.8,6.6,83.6,51.2,7434,14.8,27.5,19,0.58,Risque modéré
STU0275,Zineb Senhaji,17.0,F,2ème Bac,SCH080,11.0,16.4,11.6,17.6,13.8,74.9,3.5,Non,Secondaire,Non,2023-09-13,14.08,Admis,Lycée Hassan II,Public,Urbain,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1037,41,6.2,Oui,2005,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.32,Risque faible
STU0007,Bilal Tazi,16.0,M,1ère Bac,SCH035,6.8,5.5,6.9,2.9,4.8,75.6,0.9,Oui,Primaire,Non,2023-09-17,5.38,Recalé,Lycée Al Amal,Public,Rural,Fès,Fès-Meknès,550,38,4.9,Non,2009,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.61,Risque élevé
STU0487,Khalid Zouiten,14.0,M,3ème Collège,SCH110,14.0,18.0,12.1,15.9,17.4,66.6,4.3,Non,Aucun,Oui,2023-09-15,15.48,Admis,École Secondaire Oued Ziz,Privé,Urbain,Khénifra,Béni Mellal-Khénifra,784,60,8.9,Non,1999,55.9,7.0,75.6,72.5,7163,8.7,35.7,17,0.29,Risque faible
STU0580,Samira El Ouali,17.0,F,1ère Bac,SCH026,10.3,12.8,11.3,17.1,12.7,69.5,4.1,Non,Aucun,Oui,2023-09-13,12.84,Admis,Lycée Ibn Battuta,Privé,Urbain,Kénitra,Rabat-Salé-Kénitra,1127,50,3.6,Partiel,2009,72.8,6.6,83.6,51.2,7434,14.8,27.5,19,0.35,Risque faible
STU0330,Zineb Chraibi,14.0,F,3ème Collège,SCH094,17.3,16.1,12.6,11.6,13.7,67.3,4.2,Non,Aucun,Oui,2023-09-07,14.26,Admis,Institut Al Farabi,Privé,Urbain,Taroudant,Souss-Massa,857,29,7.2,Non,1984,62.4,20.5,71.2,87.8,5102,16.5,29.4,13,0.32,Risque faible
STU0081,Nour Mansouri,15.0,F,Tronc Commun,SCH043,10.4,9.6,9.5,9.8,8.6,70.9,2.9,Oui,Primaire,Oui,2023-09-17,9.58,Ajourné,Collège Atlas,Public,Urbain,Meknès,Fès-Meknès,1130,26,8.7,Oui,1986,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.46,Risque modéré
STU0953,Sara Alaoui,15.0,F,3ème Collège,SCH052,12.1,13.2,16.1,14.7,10.1,74.0,4.9,Non,Secondaire,Oui,2023-09-09,13.24,Admis,Institut Al Massira,Public,Rural,Taza,Fès-Meknès,1066,26,7.0,Non,2000,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.31,Risque faible
STU0672,Mouad Benali,15.0,M,3ème Collège,SCH013,15.3,13.8,14.2,15.6,10.7,85.6,3.5,Oui,Aucun,Non,2023-09-19,13.92,Admis,Institut Moulay Youssef,Public,Urbain,Berrechid,Casablanca-Settat,365,39,5.5,Non,2008,60.5,7.5,84.7,45.1,5685,17.8,34.4,15,0.3,Risque faible
STU0637,Tariq Cherif,17.0,M,2ème Bac,SCH058,12.5,15.0,11.6,15.4,12.1,81.6,4.9,Oui,Supérieur,Non,2023-09-06,13.32,Admis,Institut Ibn Sina,Public,Urbain,Marrakech,Marrakech-Safi,870,30,9.0,Oui,2004,63.7,12.7,74.6,66.2,6314,17.2,23.0,14,0.28,Risque faible
STU0945,Mouad Lahlou,15.0,M,3ème Collège,SCH031,7.5,10.6,10.9,8.8,9.2,72.0,2.1,Non,Aucun,Non,2023-09-17,9.4,Ajourné,Lycée Al Massira,Public,Urbain,Skhirate,Rabat-Salé-Kénitra,1182,30,5.6,Partiel,1990,72.8,6.6,83.6,51.2,7434,14.8,27.5,19,0.49,Risque modéré
STU0409,Meryem Senhaji,16.0,F,Tronc Commun,SCH081,14.2,17.0,17.0,13.3,10.2,79.7,6.2,Oui,Supérieur,Oui,2023-09-06,14.34,Admis,Lycée Al Farabi,Privé,Rural,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,601,29,5.6,Oui,1994,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.23,Risque faible
STU0105,Houda Lahlou,17.0,F,2ème Bac,SCH064,8.6,9.5,7.8,7.9,7.6,69.8,3.5,Non,Secondaire,Non,2023-09-10,8.28,Ajourné,Institut Ibn Sina,Public,Rural,El Kelaa,Marrakech-Safi,660,34,7.9,Non,2009,63.7,12.7,74.6,66.2,6314,17.2,23.0,14,0.48,Risque modéré
STU0771,Houda Chraibi,18.0,F,Tronc Commun,SCH125,14.4,17.9,17.0,10.1,15.1,73.6,4.6,Non,Aucun,Oui,2023-09-06,14.9,Admis,Lycée Al Amal,Privé,Urbain,Nador,Oriental,602,35,7.9,Oui,1987,59.7,16.1,69.2,82.3,5437,15.8,37.0,20,0.28,Risque faible
STU0992,Chaimae Senhaji,17.0,F,2ème Bac,SCH064,11.5,16.1,17.0,14.7,13.4,76.0,3.8,Oui,Supérieur,Non,2023-09-17,14.54,Admis,Institut Ibn Sina,Public,Rural,El Kelaa,Marrakech-Safi,660,34,7.9,Non,2009,63.7,12.7,74.6,66.2,6314,17.2,23.0,14,0.3,Risque faible
STU0951,Soukaina Zouiten,15.0,F,3ème Collège,SCH039,17.8,13.3,11.9,12.0,14.4,70.5,3.4,Non,Aucun,Non,2023-09-03,13.88,Admis,École Secondaire Atlas,Public,Urbain,Fès,Fès-Meknès,433,55,9.4,Oui,2003,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.34,Risque faible
STU0311,Imane Tazi,17.0,F,2ème Bac,SCH117,16.2,13.4,13.6,13.6,11.4,62.5,4.9,Non,Aucun,Oui,2023-09-14,13.64,Admis,Institut Ibn Khaldoun,Privé,Rural,Fquih Ben Salah,Béni Mellal-Khénifra,550,48,5.7,Partiel,1986,55.9,7.0,75.6,72.5,7163,8.7,35.7,17,0.33,Risque faible
STU0979,Hajar Alaoui,17.0,F,2ème Bac,SCH123,17.5,15.9,17.9,17.7,12.4,69.7,5.2,Non,Primaire,Non,2023-09-17,16.28,Admis,Collège Moulay Youssef,Privé,Rural,Nador,Oriental,1121,37,4.4,Oui,2014,59.7,16.1,69.2,82.3,5437,15.8,37.0,20,0.24,Risque faible
STU0803,Amine Chraibi,15.0,M,3ème Collège,SCH114,17.2,11.9,16.2,13.2,15.3,94.0,5.4,Non,Secondaire,Oui,2023-09-06,14.76,Admis,Institut Al Kindi,Privé,Rural,Azilal,Béni Mellal-Khénifra,941,60,8.8,Non,2009,55.9,7.0,75.6,72.5,7163,8.7,35.7,17,0.19,Risque faible
STU0911,Houda Benjelloun,18.0,F,2ème Bac,SCH088,14.8,10.9,10.2,16.7,17.7,65.7,6.2,Oui,Supérieur,Non,2023-09-20,14.06,Admis,Lycée Al Wifaq,Privé,Rural,Agadir,Souss-Massa,366,40,6.2,Partiel,2015,62.4,20.5,71.2,87.8,5102,16.5,29.4,13,0.27,Risque faible
STU0086,Omar Benhaddou,15.0,M,Tronc Commun,SCH090,17.4,12.8,10.5,11.5,10.4,83.4,3.2,Oui,Supérieur,Non,2023-09-07,12.52,Admis,Institut Ibn Battuta,Privé,Urbain,Agadir,Souss-Massa,753,34,8.6,Non,1994,62.4,20.5,71.2,87.8,5102,16.5,29.4,13,0.35,Risque faible
STU0348,Othmane Alaoui,17.0,M,1ère Bac,SCH058,10.7,12.3,13.7,15.4,17.1,71.2,3.3,Non,Aucun,Non,2023-09-14,13.84,Admis,Institut Ibn Sina,Public,Urbain,Marrakech,Marrakech-Safi,870,30,9.0,Oui,2004,63.7,12.7,74.6,66.2,6314,17.2,23.0,14,0.35,Risque faible
STU0192,Chaimae Bouazza,17.0,F,1ère Bac,SCH077,11.6,12.4,17.3,17.8,14.6,74.4,4.8,Non,Aucun,Non,2023-09-17,14.74,Admis,Institut Averroès,Privé,Rural,Tétouan,Tanger-Tétouan-Al Hoceïma,1145,52,4.7,Oui,1980,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.27,Risque faible
STU0725,Samira Chraibi,15.0,F,3ème Collège,SCH122,10.2,9.5,10.2,9.5,9.8,62.8,3.7,Non,Secondaire,Non,2023-09-16,9.84,Ajourné,Lycée Al Wifaq,Privé,Rural,Nador,Oriental,974,40,4.8,Partiel,1978,59.7,16.1,69.2,82.3,5437,15.8,37.0,20,0.46,Risque modéré
STU0796,Youssef El Ouali,16.0,M,Tronc Commun,SCH077,7.6,7.3,10.6,8.0,7.7,88.7,1.5,Oui,Secondaire,Non,2023-09-17,8.24,Ajourné,Institut Averroès,Privé,Rural,Tétouan,Tanger-Tétouan-Al Hoceïma,1145,52,4.7,Oui,1980,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.49,Risque modéré
STU0798,Chaimae Bouazza,14.0,F,3ème Collège,SCH083,7.9,9.1,10.8,9.3,8.2,58.3,2.6,Non,Supérieur,Oui,2023-09-19,9.06,Ajourné,Collège Al Farabi,Privé,Rural,Larache,Tanger-Tétouan-Al Hoceïma,1038,27,5.1,Partiel,2009,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.52,Risque modéré
STU0121,Tariq Zouiten,15.0,M,3ème Collège,SCH084,10.4,11.9,14.3,10.8,14.5,86.7,4.9,Non,Aucun,Non,2023-09-21,12.38,Admis,Collège Oued Ziz,Public,Urbain,Larache,Tanger-Tétouan-Al Hoceïma,795,32,7.7,Partiel,2013,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.29,Risque faible
STU0190,Nour Bouazza,18.0,F,2ème Bac,SCH081,12.6,10.3,14.0,10.1,14.0,68.0,2.4,Non,Aucun,Oui,2023-09-21,12.2,Admis,Lycée Al Farabi,Privé,Rural,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,601,29,5.6,Oui,1994,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.42,Risque modéré
STU0095,Bilal Benali,17.0,M,1ère Bac,SCH025,13.1,10.1,10.8,13.5,10.6,81.0,3.7,Oui,Aucun,Non,2023-09-17,11.62,Admis,Collège Hassan II,Public,Urbain,Kénitra,Rabat-Salé-Kénitra,849,43,3.9,Oui,1992,72.8,6.6,83.6,51.2,7434,14.8,27.5,19,0.36,Risque faible
STU0201,Othmane El Fassi,14.0,M,3ème Collège,SCH113,9.9,7.6,10.8,8.4,9.0,75.2,2.1,Oui,Aucun,Oui,2023-09-09,9.14,Ajourné,Institut Atlas,Public,Rural,Azilal,Béni Mellal-Khénifra,571,36,7.1,Non,1980,55.9,7.0,75.6,72.5,7163,8.7,35.7,17,0.49,Risque modéré
STU0651,Houda El Fassi,16.0,F,1ère Bac,SCH042,12.2,17.9,15.3,10.7,10.7,78.7,4.2,Oui,Supérieur,Non,2023-09-12,13.36,Admis,Lycée Al Kindi,Public,Urbain,Meknès,Fès-Meknès,1098,50,8.7,Non,2014,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.31,Risque faible
STU0263,Chaimae El Ouali,18.0,F,2ème Bac,SCH022,16.6,13.4,16.6,16.0,14.8,72.9,5.5,Oui,Aucun,Oui,2023-09-17,15.48,Admis,Collège Mohammed V,Privé,Urbain,Salé,Rabat-Salé-Kénitra,985,46,4.4,Oui,2011,72.8,6.6,83.6,51.2,7434,14.8,27.5,19,0.24,Risque faible
STU0035,Chaimae Tazi,15.0,F,Tronc Commun,SCH125,12.9,13.1,13.0,17.3,12.7,75.3,4.5,Oui,Aucun,Non,2023-09-18,13.8,Admis,Lycée Al Amal,Privé,Urbain,Nador,Oriental,602,35,7.9,Oui,1987,59.7,16.1,69.2,82.3,5437,15.8,37.0,20,0.3,Risque faible
STU0042,Amine Berrada,18.0,M,2ème Bac,SCH126,9.9,9.9,9.1,10.3,10.2,67.7,2.0,Non,Aucun,Oui,2023-09-01,9.88,Ajourné,École Secondaire Al Wifaq,Public,Rural,Nador,Oriental,468,31,8.9,Non,1993,59.7,16.1,69.2,82.3,5437,15.8,37.0,20,0.49,Risque modéré
STU0743,Bilal Amrani,17.0,M,1ère Bac,SCH112,12.2,15.4,16.2,13.5,17.3,69.6,4.3,Oui,Supérieur,Non,2023-09-12,14.92,Admis,Institut Ibn Sina,Public,Rural,Azilal,Béni Mellal-Khénifra,1039,24,5.7,Partiel,1984,55.9,7.0,75.6,72.5,7163,8.7,35.7,17,0.3,Risque faible
STU0464,Ghita Belkadi,17.0,F,1ère Bac,SCH051,14.3,11.7,17.7,12.1,13.3,88.1,5.4,Non,Secondaire,Non,2023-09-21,13.82,Admis,École Secondaire Al Biruni,Public,Rural,Ifrane,Fès-Meknès,616,57,5.7,Non,1993,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.24,Risque faible
STU0929,Khalid Tazi,18.0,M,2ème Bac,SCH091,11.1,17.6,11.6,13.5,11.1,76.8,4.2,Non,Primaire,Oui,2023-09-05,12.98,Admis,Collège Al Massira,Public,Rural,Tiznit,Souss-Massa,516,31,7.3,Oui,1990,62.4,20.5,71.2,87.8,5102,16.5,29.4,13,0.33,Risque faible
STU0831,Rachid Mansouri,14.0,M,3ème Collège,SCH119,16.4,16.3,14.2,15.8,15.7,93.0,5.7,Non,Aucun,Oui,2023-09-19,15.68,Admis,École Secondaire Ibn Battuta,Public,Rural,Oujda,Oriental,561,57,3.1,Non,1993,59.7,16.1,69.2,82.3,5437,15.8,37.0,20,0.17,Risque faible
STU0819,Rachid Cherif,17.0,M,2ème Bac,SCH045,9.6,9.0,10.9,10.3,10.0,55.0,3.1,Non,Secondaire,Oui,2023-09-14,9.96,Ajourné,Institut Al Kindi,Public,Urbain,Meknès,Fès-Meknès,612,29,4.4,Partiel,1987,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.5,Risque modéré
STU0440,Othmane Berrada,15.0,M,Tronc Commun,SCH084,9.8,9.7,10.0,8.9,9.6,66.1,3.4,Oui,Primaire,Oui,2023-09-17,9.6,Ajourné,Collège Oued Ziz,Public,Urbain,Larache,Tanger-Tétouan-Al Hoceïma,795,32,7.7,Partiel,2013,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.46,Risque modéré
STU0532,Lina Cherif,16.0,F,Tronc Commun,SCH041,9.2,7.2,7.6,8.4,7.6,69.3,1.8,Non,Primaire,Non,2023-09-13,8.0,Ajourné,Collège Ibn Sina,Public,Rural,Meknès,Fès-Meknès,615,38,8.8,Oui,1997,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.54,Risque modéré
STU0256,Youssef Belkadi,17.0,M,2ème Bac,SCH102,10.6,10.7,12.3,10.1,12.3,83.2,2.7,Non,Supérieur,Non,2023-09-17,11.2,Admis,Institut Ibn Sina,Public,Rural,Béni Mellal,Béni Mellal-Khénifra,492,48,5.4,Non,2015,55.9,7.0,75.6,72.5,7163,8.7,35.7,17,0.39,Risque faible
STU0079,Aisha Benali,17.0,F,Tronc Commun,SCH090,17.9,13.3,16.3,14.7,14.2,68.6,5.5,Non,Aucun,Oui,2023-09-12,15.28,Admis,Institut Ibn Battuta,Privé,Urbain,Agadir,Souss-Massa,753,34,8.6,Non,1994,62.4,20.5,71.2,87.8,5102,16.5,29.4,13,0.26,Risque faible
STU0187,Othmane Belkadi,16.0,M,1ère Bac,SCH023,16.2,17.0,14.6,14.9,15.6,80.1,5.9,Oui,Secondaire,Non,2023-09-20,15.66,Admis,Institut Hassan II,Public,Rural,Kénitra,Rabat-Salé-Kénitra,396,21,7.3,Non,2002,72.8,6.6,83.6,51.2,7434,14.8,27.5,19,0.2,Risque faible
STU0890,Nour Tazi,15.0,F,3ème Collège,SCH084,11.6,17.6,15.1,15.1,17.2,64.8,4.1,Non,Aucun,Non,2023-09-17,15.32,Admis,Collège Oued Ziz,Public,Urbain,Larache,Tanger-Tétouan-Al Hoceïma,795,32,7.7,Partiel,2013,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.31,Risque faible
STU0985,Othmane El Fassi,16.0,M,1ère Bac,SCH096,10.0,13.7,16.4,11.9,16.3,65.0,3.8,Non,Aucun,Oui,2023-09-08,13.66,Admis,Institut Oued Ziz,Privé,Urbain,Taroudant,Souss-Massa,611,59,5.6,Non,2007,62.4,20.5,71.2,87.8,5102,16.5,29.4,13,0.35,Risque faible
STU0157,Fatima Lahlou,16.0,F,Tronc Commun,SCH093,8.0,7.3,8.9,8.5,9.2,73.7,2.1,Non,Supérieur,Oui,2023-09-01,8.38,Ajourné,Lycée Hassan II,Privé,Rural,Tiznit,Souss-Massa,595,60,4.8,Non,1979,62.4,20.5,71.2,87.8,5102,16.5,29.4,13,0.51,Risque modéré
